sample	pe	se	n_reads	main_lib	add_lib	n_clean	clean_paired	clean_single	qc_orphans	dc_orphans	n_aln	pri_aln	sec_aln	pe_aln	se_aln
zr5240_54	True	False	33615302	33615302	0	28241559	25473706	2767853	2766744	1109	44065709	26991089	17074620	24459140	2531949
zr5240_55	True	False	33706056	33706056	0	28582337	25779782	2802555	2802371	184	48852505	28263054	20589451	25516160	2746894
zr5240_56	True	False	29587614	29587614	0	23527618	20579766	2947852	2947841	11	43856860	23281163	20575697	20367156	2914007
zr5240_58	True	False	31086078	31086078	0	25702134	22826216	2875918	0	399	47828252	25533022	22295230	22663378	2869644
zr5240_59	True	False	22454638	22454638	0	18990101	17268674	1721427	1721102	325	33885160	18708669	15176491	17016904	1691765
zr5240_6	True	False	38216364	38216364	0	31946313	28688946	3257367	3256601	766	53923902	30436453	23487449	27444970	2991483
zr5240_60	True	False	42233726	42233726	0	32406076	27875502	4530574	4529338	1236	55541749	31953138	23588611	27530390	4422748
zr5240_61	True	False	48953836	48953836	0	40809737	36730682	4079055	4076745	2310	68388925	40254722	28134203	36188822	4065900
zr5240_62	True	False	22278574	22278574	0	18408349	16564106	1844243	1844220	0	32670413	18276193	14394220	16442978	1833215
zr5240_63	True	False	26911604	26911604	0	21842112	19535306	2306806	2305784	1022	36294365	21560825	14733540	19299772	2261053
zr5240_64	True	False	26684476	26684476	0	22304560	19874306	2430254	2430032	222	40376129	21989201	18386928	19596634	2392567
zr5240_65	True	False	25956600	25956600	0	21417479	18945880	2471599	2471368	231	38540518	21046962	17493556	18623334	2423628
zr5240_66	True	False	25847720	25847720	0	21204706	19020338	2184368	2184351	17	38422634	21094345	17328289	18907426	2186919
zr5240_67	True	False	36826546	36826546	0	30795419	27648600	3146819	0	106	52994864	30187812	22807052	27123598	3064214
zr5240_68	True	False	32203920	32203920	0	27226852	24621430	2605422	2605398	24	45085770	26935166	18150604	24364736	2570430
zr5240_69	True	False	34060102	34060102	0	28368340	25235274	3133066	3132999	67	51371931	28131196	23240735	25008164	3123032
zr5240_7	True	False	40254666	40254666	0	33879002	30640934	3238068	0	307	61882839	33441153	28441686	30236148	3205005
zr5240_70	True	False	27591964	27591964	0	22445517	19971306	2474211	2474168	43	39541261	22253874	17287387	19829316	2424558
zr5240_71	True	False	33985700	33985700	0	28065881	25112468	2953413	2953400	13	52580054	27846775	24733279	24911140	2935635
zr5240_72	True	False	38682290	38682290	0	32283076	29052818	3230258	3230202	56	58578018	31465199	27112819	28340096	3125103
zr5240_73	True	False	34008794	34008794	0	28041110	25009144	3031966	3031491	475	58970432	27848563	31121869	24828514	3020049
