sample	pe	se	n_reads	main_lib	add_lib	n_clean	clean_paired	clean_single	qc_orphans	dc_orphans	n_aln	pri_aln	sec_aln	pe_aln	se_aln
zr5240_203	True	False	35413662	35413662	0	27984466	24455708	3528758	3528634	124	55012056	27760195	27251861	24243678	3516517
zr5240_204	True	False	34570588	34570588	0	27925521	24442018	3483503	3483085	418	51151278	27635322	23515956	24178468	3456854
zr5240_205	True	False	26980430	26980430	0	21051278	18390686	2660592	2660192	0	39382218	20845207	18537011	18200814	2644393
zr5240_206	True	False	25330446	25330446	0	20235463	17845134	2390329	2390216	0	37921084	20047741	17873343	17670578	2377163
zr5240_207	True	False	30541406	30541406	0	25466101	22844914	2621187	2621124	63	48916327	25238035	23678292	22608448	2629587
zr5240_208	True	False	28251170	28251170	0	23534535	21011574	2522961	0	116	46136018	23375162	22760856	20847112	2528050
zr5240_209	True	False	43654420	43654420	0	35849074	32073738	3775336	0	778	64080013	35539394	28540619	31801472	3737922
zr5240_21	True	False	27678748	27678748	0	23125237	20603266	2521971	0	197	44496665	22805847	21690818	20312868	2492979
zr5240_210	True	False	29958086	29958086	0	24350443	21503028	2847415	0	1125	45189937	23994482	21195455	21183492	2810990
zr5240_211	True	False	36471954	36471954	0	29586102	26542250	3043852	3043753	99	53681495	29198721	24482774	26191374	3007347
zr5240_212	True	False	29376628	29376628	0	24432265	21860936	2571329	2571011	318	45978038	24130716	21847322	21576834	2553882
zr5240_213	True	False	39585456	39585456	0	32641972	29045458	3596514	3596159	355	61527966	32197406	29330560	28635350	3562056
zr5240_214	True	False	27745378	27745378	0	23277803	20969818	2307985	2307905	80	44534886	23119666	21415220	20809240	2310426
zr5240_215	True	False	25881122	25881122	0	20926655	18570412	2356243	2355927	316	35823830	20040633	15783197	17892274	2148359
zr5240_216	True	False	41325516	41325516	0	34134257	30503830	3630427	0	1545	60277897	33724947	26552950	30117226	3607721
zr5240_217	True	False	24030416	24030416	0	19420265	17302220	2118045	2118036	0	37026192	19311377	17714815	17197698	2113679
zr5240_218	True	False	28230332	28230332	0	23166529	20593696	2572833	0	565	34213333	20071420	14141913	18098792	1972628
zr5240_219	True	False	37395528	37395528	0	30683825	27420698	3263127	0	322	51342357	29868872	21473485	26649882	3218990
zr5240_22	True	False	34016960	34016960	0	28183481	25146974	3036507	3036275	232	51324842	27659400	23665442	24715756	2943644
zr5240_220	True	False	33667838	33667838	0	26414038	22190678	4223360	4223191	169	50038529	25985744	24052785	21852012	4133732
zr5240_221	True	False	40835892	40835892	0	32658940	28579340	4079600	4078796	804	51707246	31382527	20324719	27525860	3856667
zr5240_222	True	False	34845210	34845210	0	28635646	25347312	3288334	3288269	65	54267108	28457855	25809253	25167134	3290721
zr5240_223	True	False	33576682	33576682	0	27716982	25022834	2694148	2690728	3420	49313773	27164258	22149515	24509244	2655014
zr5240_224	True	False	35839990	35839990	0	26175466	23027688	3147778	3132215	15563	47558026	25431965	22126061	22428670	3003295
